Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F000996,29101,"Beer, high alcohol (5% v/v & above)",174,174,91.9,0.5,0,4.5,0.2,0,4,4,0,0
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",152,152,93,0.4,0,3.7,0,0,4,5,0,0
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,126,94.6,0.3,0,3.6,0,0,3,4,0,0
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,128,94.1,0.3,0,3,0,0,4,3,0,0
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,892,66.9,0,0,30.7,0.1,0,1,3,0,0
F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",209,209,89.2,0,0,3.9,5.6,0,3,3,2,0
F008402,11503,"Soft drink, cola flavour",206,206,89.4,0,0.2,0,12.3,12.3,1,2,0,0
F008402,11503,"Soft drink, cola flavour",206,206,89.4,0,0.2,0,12.3,12.3,1,2,0,0
F008403,11503,"Soft drink, cola flavour, decaffeinated",206,206,89.4,0,0.2,0,12.3,12.3,1,2,0,0
F008403,11503,"Soft drink, cola flavour, decaffeinated",206,206,89.4,0,0.2,0,12.3,12.3,1,2,0,0
F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0,0,99.9,0,0,0,0,0,1,3,0,0
F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0,0,99.9,0,0,0,0,0,1,3,0,0
F008405,11504,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0,99.9,0,0,0,0,0,1,3,0,0
F008405,11504,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0,99.9,0,0,0,0,0,1,3,0,0
F008421,11603,"Soft drink, energy drink, Red Bull",182,182,88.3,0.1,0,0,10.8,10.8,9,71,0,0
F008424,11603,"Soft drink, energy drink, V",182,182,88.3,0.1,0,0,10.8,10.8,9,110,0,0
F008438,11501,"Soft drink, lemonade and fruit flavours",143,143,100,0,0,0,8.8,8.3,2,14,0,0
F008438,11501,"Soft drink, lemonade and fruit flavours",143,143,100,0,0,0,8.8,8.3,2,14,0,0
F008439,11502,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",1,1,100,0,0,0,0,0,2,14,0,0
F008439,11502,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",1,1,100,0,0,0,0,0,2,14,0,0
F008460,11501,"Soft drink, tonic water",142,142,91.1,0,0,0,8.8,8.8,1,12,0,0
F008461,11502,"Soft drink, tonic water, intense sweetened or diet",1,1,99.9,0,0,0,0,0,1,12,0,0
F003095,13101,"Cone, wafer style, for ice cream",1474,1449,8.5,7.9,2.3,0,0.3,0,26,327,0,0.59
F001420,12302,"Bread, flat, white, commercial",1102,1070,30.7,9.5,2.1,0,3.1,0,50,498,0,0.2
F001420,12302,"Bread, flat, white, commercial",1102,1070,30.7,9.5,2.1,0,3.1,0,50,498,0,0.2
F001404,12302,"Bread, flat (pita or Lebanese), wholemeal, commercial",1074,1023,32.7,8.6,2,0,3.1,0,45,470,0,0.08
F001404,12302,"Bread, flat (pita or Lebanese), wholemeal, commercial",1074,1023,32.7,8.6,2,0,3.1,0,45,470,0,0.08
F001463,12201,"Bread, from white flour",1000,970,38.3,9.6,1.8,0,2.7,0,57,449,0,0.32
F001541,12201,"Bread, from white flour, toasted",1190,1154,26.5,11.4,2.1,0,3.2,0,68,534,0,0.37
F001466,12202,"Bread, from white flour, added calcium",1000,970,38.2,9.6,1.8,0,2.7,0,228,442,0,0.32
F001467,12202,"Bread, from white flour, added calcium, toasted",1163,1128,28.1,11.1,2.1,0,3.1,0,265,514,0,0.36
F001468,12202,"Bread, from white flour, added fibre",1027,961,38.1,9.4,1.7,0,2.5,0,56,448,0,0.48
F001479,12202,"Bread, from white flour, added fibre, toasted",1222,1144,26.3,11.2,2,0,3,0,67,534,0,0.54
F001482,12202,"Bread, from white flour, added iron",1000,970,38.2,9.6,1.8,0,2.7,0,68,447,0,0.32
F001483,12202,"Bread, from white flour, added iron, toasted",1163,1128,28.2,11.1,2.1,0,3.1,0,79,520,0,0.36
F001484,12202,"Bread, from white flour, added omega-3 polyunsaturates",1051,1019,38,8.9,2.1,0,2.4,0,56,448,0,0.48
F001485,12202,"Bread, from white flour, added omega-3 polyunsaturates, toasted",1222,1185,28,10.4,2.5,0,2.8,0,65,521,0,0.52
F001543,12202,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",1052,1000,39.3,8.3,2.3,0,3.8,0,150,410,0,0.12
F001544,12202,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",1238,1177,28.6,9.8,2.7,0,4.5,0,176,482,0,0.13
F001528,12201,"Bread, from white flour, Italian-style, commercial",1070,1039,35.3,9,2.5,0,2,0,16,500,0,0.35
F001529,12201,"Bread, from white flour, Italian-style, commercial, toasted",1274,1237,23,10.7,3,0,2.4,0,19,595,0,0.4
F001353,12201,"Bread roll, from white flour",1058,1034,34.2,9.4,3,0,4.1,0,112,537,0,1.53
F001353,12201,"Bread roll, from white flour",1058,1034,34.2,9.4,3,0,4.1,0,112,537,0,1.53
F001358,12201,"Bread roll, from white flour, toasted",1230,1202,23.5,10.9,3.5,0,4.8,0,131,625,0,1.69
F001358,12201,"Bread roll, from white flour, toasted",1230,1202,23.5,10.9,3.5,0,4.8,0,131,625,0,1.69
F001372,12304,"Bread roll, topped with cheese",1179,1160,34.1,12.4,9,0,3.4,0,242,567,0,1.3
F001373,12304,"Bread roll, topped with cheese & bacon",1177,1162,36.9,16.6,11.2,0,2.7,0,222,859,0,1
F001553,12207,"Bread, from wholemeal flour",971,914,39.2,11.2,2.3,0,2.7,0,78,421,0,0.27
F001597,12207,"Bread, from wholemeal flour, toasted",1142,1076,28.5,13.2,2.7,0,3.2,0,91,495,0,0.3
F001573,12207,"Bread, from wholemeal flour, extra grainy & seeds",1064,1000,35.6,11.6,4.6,0,2.5,0,80,372,0,1.03
F001576,12207,"Bread, from wholemeal flour, extra grainy & seeds, toasted",1251,1177,24.2,13.6,5.4,0,3,0,94,437,0,1.15
F001360,12207,"Bread roll, from wholemeal flour",1095,1048,32.5,10.1,3,0,3,0,90,560,0,0.96
F001360,12207,"Bread roll, from wholemeal flour",1095,1048,32.5,10.1,3,0,3,0,90,560,0,0.96
F001364,12207,"Bread roll, from wholemeal flour, toasted",1288,1233,20.6,11.9,3.5,0,3.5,0,106,659,0,1.07
F001364,12207,"Bread roll, from wholemeal flour, toasted",1288,1233,20.6,11.9,3.5,0,3.5,0,106,659,0,1.07
F001545,12203,"Bread, from white or wholemeal flour, organic",1034,989,39.6,11.6,2.9,0,1.3,0,48,490,0,2.85
F001548,12203,"Bread, from white or wholemeal flour, organic, toasted",1216,1164,29,13.7,3.4,0,1.5,0,56,576,0,3.18
F001621,12204,"Bread, mixed grain",1047,993,37.6,11.2,5,0,1.8,0,95,423,0,2.5
F001644,12204,"Bread, mixed grain, toasted",1232,1168,26.6,13.1,5.9,0,2.2,0,112,498,0,2.8
