Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure ID,Quantity,Measure_desc,Weight_grams,Volume_mLs
F000996,29101,Alcoholic beverages,"Beer, high alcohol (5% v/v & above)",74551,1,can,379,375
F000994,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v)",74554,1,can,379,375
F000995,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",74972,1,can,379,375
F001006,29102,Alcoholic beverages,"Beer, mid-strength (alcohol 3-3.9% v/v)",74971,1,can,379,375
F001004,29102,Alcoholic beverages,"Beer, light (alcohol 1- <3% v/v)",74558,1,can,379,375
F000051,29301,Alcoholic beverages,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",74560,1,shot,28.8,30
F002955,29401,Alcoholic beverages,"Cider, apple (alcohol approximately 4-5% v/v)",74561,1,bottle,398,394
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74562,1,can,390,375
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74563,1,bottle,624,600
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74564,1,can,390,375
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74565,1,bottle,624,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74567,1,bottle,600,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74566,1,can,375,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74568,1,can,375,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74569,1,bottle,600,600
F008421,11603,Non-alcoholic beverages,"Soft drink, energy drink, Red Bull",74570,1,can,263,250
F008424,11603,Non-alcoholic beverages,"Soft drink, energy drink, V",74571,1,can,263,250
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74572,1,can,390,375
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74573,1,bottle,624,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74575,1,bottle,600,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74574,1,can,375,375
F008460,11501,Non-alcoholic beverages,"Soft drink, tonic water",74576,1,bottle,309,300
F008461,11502,Non-alcoholic beverages,"Soft drink, tonic water, intense sweetened or diet",74577,1,bottle,300,300
F003095,13101,Cereal based products and dishes,"Cone, wafer style, for ice cream",74578,1,cone,4,0
