Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure_ID,Measure_desc,kid_Quantity,kid_Weight_grams,kid_Volume_mLs
F000996,29101,Alcoholic beverages,"Beer, high alcohol (5% v/v & above)",74551,No Measurement,No Measurement,No Measurement,No Measurement
F000994,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v)",74554,No Measurement,No Measurement,No Measurement,No Measurement
F000995,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",74972,No Measurement,No Measurement,No Measurement,No Measurement
F001006,29102,Alcoholic beverages,"Beer, mid-strength (alcohol 3-3.9% v/v)",74971,No Measurement,No Measurement,No Measurement,No Measurement
F001004,29102,Alcoholic beverages,"Beer, light (alcohol 1- <3% v/v)",74558,No Measurement,No Measurement,No Measurement,No Measurement
F000051,29301,Alcoholic beverages,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",74560,No Measurement,No Measurement,No Measurement,No Measurement
F002955,29401,Alcoholic beverages,"Cider, apple (alcohol approximately 4-5% v/v)",74561,No Measurement,No Measurement,No Measurement,No Measurement
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74562,can,0.75,390.0,375
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74563,bottle,0.75,624.0,600
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74564,can,0.75,390.0,375
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74565,bottle,0.75,624.0,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74567,bottle,0.75,600.0,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74566,can,0.75,375.0,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74568,can,0.75,375.0,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74569,bottle,0.75,600.0,600
F008421,11603,Non-alcoholic beverages,"Soft drink, energy drink, Red Bull",74570,can,0.75,263.0,250
F008424,11603,Non-alcoholic beverages,"Soft drink, energy drink, V",74571,can,0.75,263.0,250
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74572,can,0.75,390.0,375
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74573,bottle,0.75,624.0,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74575,bottle,0.75,600.0,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74574,can,0.75,375.0,375
F008460,11501,Non-alcoholic beverages,"Soft drink, tonic water",74576,bottle,0.75,309.0,300
F008461,11502,Non-alcoholic beverages,"Soft drink, tonic water, intense sweetened or diet",74577,bottle,0.75,300.0,300
F003095,13101,Cereal based products and dishes,"Cone, wafer style, for ice cream",74578,cone,0.75,4.0,0
F001420,12302,Cereals and cereal products,"Bread, flat, white, commercial",74580,flat bread or pita bread,0.75,66.0,0
F001420,12302,Cereals and cereal products,"Bread, flat, white, commercial",74579,mountain bread,0.75,25.0,0
F001404,12302,Cereals and cereal products,"Bread, flat (pita or Lebanese), wholemeal, commercial",74582,mountain bread,0.75,25.0,0
F001404,12302,Cereals and cereal products,"Bread, flat (pita or Lebanese), wholemeal, commercial",74581,flat bread or pita bread,0.75,66.0,0
